id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
138805,Dead Survivors,Dead Survivors,de,2012-02-10,0.6,2,6.5,0,0,0,Released,False,"Action, Horror, Science Fiction",0
186391,猛鬼食人胎,The Demon's Baby,cn,1998-01-02,1.457,1,2.0,0,0,85,Released,False,Horror,0
363282,Blood Kiss,Blood Kiss,en,1999-01-01,0.6,0,0.0,0,0,0,Released,False,Horror,0
802755,Efsunlu Ayin,Efsunlu Ayin,tr,2020-02-22,0.6,0,0.0,0,0,0,Released,False,Horror,0
33016,Deadly Blessing,Deadly Blessing,en,1981-08-14,11.138,129,5.5,2500000,0,103,Released,False,Horror,-2500000
505188,Floor 9.5,Floor 9.5,en,2018-02-15,0.784,4,7.3,0,0,2,Released,False,Horror,0
1011043,ParaSense: The Naked Experiments,ParaSense: The Naked Experiments,en,2022-03-25,1.4,0,0.0,10000,0,68,Released,False,"Documentary, Horror",-10000
422982,El sacristán del diablo,The Devil's Sacristan,es,1992-01-01,0.6,3,4.0,0,0,0,Released,False,"Action, Horror",0
473729,The Other Gods: A Tale of the Dream Cycle,The Other Gods: A Tale of the Dream Cycle,en,2006-10-06,0.764,5,6.2,0,0,6,Released,False,"Animation, Horror",0
667992,The Reunion,The Reunion,en,2015-09-15,0.6,0,0.0,300,0,7,Released,False,"Drama, Horror",-300
40241,The Unseen,The Unseen,en,1980-09-01,3.699,40,5.0,2000000,0,94,Released,False,Horror,-2000000
328987,Las vampiras,The Vampire Girls,es,1969-06-13,0.6,8,5.1,0,0,91,Released,False,Horror,0
290725,Lazarus: Apocalypse,Lazarus: Apocalypse,en,2014-09-09,1.495,4,4.9,0,0,91,Released,False,Horror,0
873865,Silent Road,Silent Road,en,2018-07-23,0.6,0,0.0,0,0,20,Released,False,"Horror, Thriller",0
294310,Essence of Echoes,Essence of Echoes,en,2002-09-17,0.665,0,0.0,0,0,90,Released,False,Horror,0
603227,Secrecy,Secrecy,de,2020-11-18,0.738,2,7.5,0,0,0,Released,False,Horror,0
324075,Pesadilla Fatal,Fatal Nightmare,es,1991-01-01,0.84,6,4.5,0,0,85,Released,False,Horror,0
434389,The Ice Cream Truck,The Ice Cream Truck,en,2017-01-01,6.538,45,4.6,0,0,96,Released,False,"Comedy, Horror, Mystery, Thriller",0
453579,Evil Cult,Evil Cult,en,2003-11-11,0.6,1,8.0,15000,0,88,Released,False,"Action, Comedy, Horror",-15000
127183,Psychotica,Psychotica,de,2006-06-04,0.992,5,3.1,5000,0,60,Released,False,"Horror, Thriller",-5000
950765,New Tricks,New Tricks,en,2021-05-19,0.6,0,0.0,0,0,2,Released,False,"Animation, Horror",0
885025,Poltergays: Pesadija en lo profundo del recto,Poltergays: Pesadija en lo profundo del recto,es,2013-08-29,1.1,0,0.0,0,0,47,Released,False,"Comedy, Horror",0
480295,Psycho Street,Psycho Street,en,2011-07-22,0.6,0,0.0,0,0,98,Released,False,Horror,0
588258,三更半夜鬼鬧房,Demons Apartment,zh,1986-01-10,0.654,0,0.0,0,0,91,Released,False,Horror,0
347851,The Shelter,The Shelter,en,2015-08-28,2.656,9,3.6,0,0,76,Released,False,"Drama, Horror, Thriller",0
94436,Curse III: Blood Sacrifice,Curse III: Blood Sacrifice,en,1991-05-10,2.612,9,4.8,0,0,91,Released,False,"Drama, Horror",0
291418,Zombie Allegiance,Zombie Allegiance,en,2010-10-17,0.6,0,0.0,0,0,92,Released,False,Horror,0
989526,ネットから削除された禁断動画26,Not Found 26,ja,2016-07-08,0.6,0,0.0,0,0,69,Released,False,Horror,0
597785,Deathcember,Deathcember,en,2019-10-25,3.0,36,5.5,0,0,145,Released,False,Horror,0
28260,Return of the Living Dead III,Return of the Living Dead III,en,1993-10-01,27.871,683,6.6,2000000,54207,97,Released,False,"Horror, Science Fiction",-1945793
10665,The Strangers,The Strangers,en,2008-05-29,27.332,2000,6.1,9000000,82391145,86,Released,False,"Horror, Mystery, Thriller",73391145
686111,Belgian Psycho,Belgian Psycho,fr,2012-04-07,0.6,0,0.0,0,0,9,Released,False,"Comedy, Fantasy, Horror, Thriller",0
472160,Crying Wolf,Crying Wolf,en,2016-08-26,0.6,1,10.0,0,0,19,Released,False,"Action, Horror",0
643758,Little VVomen,Little VVomen,en,2019-10-25,0.6,2,10.0,0,0,3,Released,False,"Comedy, Horror",0
